c65,c36,c69,c40,c63,c61,c37,c62,c57,c56,c47,c54,c53,c52,c51,c41,c71,c70,c73,c72,c75,c74,c59,c58,c19,c18,c39,c38,c13,c12,c11,c10,c17,c16,c15,c14,c44,c68,c42,c45,c55,c46,c50,c35,c9,c8,c76,c34,c3,c2,c1,c7,c6,c5,c4,c22,c23,c20,c21,c26,c27,c24,c25,c66,c31,c28,c29,c48,c49,c60,c30,c33,c67,c43,c32,c64
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19%,38%,28%,40%,12%,35%,41%,33%,47%,28%,33%,29%,19%,24%,28%,37%,23%,49%,24%,25%,22%,18%,69%,27%,45%,34%,37%,22%,14%,12%,67%,48%,9%,1%,2%,4%,34%,88%,37%,49%,24%,17%,92%,8%,52%,20%,37%,18%,50%,100%,Composition of Registered Voters,28%,26%,26%,50%,30%,10%,11%,22%,26%,9%,27%,28%,81%,11%,32%,41%,67%,8%,29%,23%,37%,11%,27%,23%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,3850 Registered Voters,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
48%,83%,30%,38%,39%,19%,6%,40%,32%,45%,41%,27%,41%,44%,50%,35%,49%,42%,35%,50%,40%,38%,35%,56%,41%,41%,42%,42%,32%,10%,48%,44%,29%,**,**,**,31%,43%,43%,46%,53%,42%,41%,5%,37%,44%,44%,7%,48%,41%,Mike Pence ,44%,40%,35%,33%,48%,31%,46%,50%,46%,56%,34%,40%,39%,85%,83%,9%,40%,31%,69%,38%,34%,23%,46%,73%,41%
40%,6%,59%,52%,52%,71%,87%,45%,55%,44%,46%,57%,48%,45%,40%,51%,37%,46%,51%,41%,48%,51%,54%,34%,48%,47%,46%,44%,57%,78%,41%,45%,52%,**,**,**,56%,45%,46%,43%,38%,45%,47%,92%,50%,45%,45%,86%,42%,48%,Elizabeth Warren,45%,48%,52%,53%,41%,54%,45%,39%,43%,37%,51%,49%,49%,10%,7%,83%,48%,58%,22%,43%,49%,68%,45%,17%,47%
12%,11%,11%,11%,9%,10%,7%,15%,13%,11%,13%,15%,11%,11%,10%,14%,15%,11%,14%,9%,12%,11%,12%,10%,11%,12%,12%,14%,11%,12%,11%,11%,20%,**,**,**,12%,12%,11%,11%,9%,13%,12%,3%,13%,10%,11%,7%,10%,12%,Undecided,11%,12%,13%,14%,11%,15%,9%,11%,11%,6%,15%,10%,12%,5%,10%,8%,11%,11%,10%,19%,17%,9%,10%,11%,12%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19%,38%,28%,40%,12%,35%,41%,33%,47%,28%,33%,29%,19%,24%,28%,37%,23%,49%,24%,25%,22%,18%,69%,27%,45%,34%,37%,22%,14%,12%,67%,48%,9%,1%,2%,4%,34%,88%,37%,49%,24%,17%,92%,8%,52%,20%,37%,18%,50%,100%,Composition of Registered Voters,28%,26%,26%,50%,30%,10%,11%,22%,26%,9%,27%,28%,81%,11%,32%,41%,67%,8%,29%,23%,37%,11%,27%,23%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,3850 Registered Voters,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
51%,89%,31%,38%,42%,18%,4%,40%,33%,44%,41%,27%,40%,45%,50%,35%,51%,41%,35%,46%,39%,38%,34%,58%,41%,40%,41%,45%,31%,7%,49%,45%,32%,**,**,**,29%,43%,42%,48%,53%,43%,42%,3%,37%,45%,45%,7%,47%,40%,Donald Trump ,44%,40%,34%,34%,49%,33%,47%,49%,47%,54%,34%,40%,38%,87%,86%,6%,40%,27%,70%,39%,33%,23%,47%,74%,41%
41%,7%,62%,54%,52%,76%,89%,50%,59%,49%,52%,64%,52%,48%,42%,57%,41%,51%,55%,47%,52%,54%,58%,36%,50%,54%,52%,48%,63%,83%,44%,47%,59%,**,**,**,64%,49%,50%,45%,40%,49%,50%,93%,57%,45%,48%,88%,47%,52%,Bernie Sanders,48%,53%,60%,57%,42%,59%,46%,45%,46%,39%,58%,53%,54%,10%,9%,88%,52%,67%,24%,46%,55%,73%,47%,20%,52%
8%,3%,7%,9%,7%,6%,7%,11%,8%,7%,7%,9%,8%,7%,8%,8%,7%,8%,10%,7%,9%,8%,8%,6%,9%,6%,7%,7%,6%,10%,7%,9%,9%,**,**,**,7%,8%,9%,8%,7%,9%,8%,4%,7%,10%,7%,5%,7%,8%,Undecided,8%,7%,6%,9%,9%,8%,7%,5%,7%,7%,8%,7%,8%,3%,5%,5%,8%,6%,6%,15%,12%,5%,6%,5%,8%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19%,38%,28%,40%,12%,35%,41%,33%,47%,28%,33%,29%,19%,24%,28%,37%,23%,49%,24%,25%,22%,18%,69%,27%,45%,34%,37%,22%,14%,12%,67%,48%,9%,1%,2%,4%,34%,88%,37%,49%,24%,17%,92%,8%,52%,20%,37%,18%,50%,100%,Composition of Registered Voters,28%,26%,26%,50%,30%,10%,11%,22%,26%,9%,27%,28%,81%,11%,32%,41%,67%,8%,29%,23%,37%,11%,27%,23%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,3850 Registered Voters,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
47%,80%,28%,37%,37%,16%,5%,37%,29%,41%,37%,23%,37%,42%,49%,32%,47%,39%,34%,45%,37%,36%,31%,55%,39%,37%,38%,40%,29%,8%,45%,43%,24%,**,**,**,26%,40%,39%,45%,53%,40%,39%,2%,33%,45%,42%,6%,43%,38%,Mike Pence ,42%,35%,30%,32%,47%,28%,45%,45%,45%,55%,30%,38%,36%,84%,81%,7%,38%,23%,66%,34%,30%,21%,44%,71%,38%
42%,10%,63%,54%,53%,76%,88%,50%,60%,50%,52%,65%,52%,49%,41%,57%,41%,51%,55%,47%,53%,53%,58%,36%,51%,54%,52%,48%,62%,82%,45%,46%,60%,**,**,**,65%,50%,51%,44%,38%,48%,50%,94%,57%,44%,48%,87%,48%,52%,Bernie Sanders,48%,54%,61%,56%,43%,59%,47%,46%,45%,38%,59%,53%,54%,11%,11%,87%,52%,69%,25%,48%,55%,71%,47%,20%,52%
12%,10%,9%,10%,10%,8%,7%,13%,12%,9%,11%,11%,11%,9%,10%,11%,12%,10%,11%,8%,10%,11%,10%,9%,10%,10%,10%,11%,9%,10%,10%,11%,16%,**,**,**,9%,11%,10%,11%,9%,12%,10%,4%,10%,11%,10%,7%,9%,10%,Undecided,10%,10%,10%,12%,11%,12%,8%,9%,10%,7%,11%,9%,10%,5%,9%,6%,10%,8%,9%,18%,15%,8%,9%,8%,10%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19%,38%,28%,40%,12%,35%,41%,33%,47%,28%,33%,29%,19%,24%,28%,37%,23%,49%,24%,25%,22%,18%,69%,27%,45%,34%,37%,22%,14%,12%,67%,48%,9%,1%,2%,4%,34%,88%,37%,49%,24%,17%,92%,8%,52%,20%,37%,18%,50%,100%,Composition of Registered Voters,28%,26%,26%,50%,30%,10%,11%,22%,26%,9%,27%,28%,81%,11%,32%,41%,67%,8%,29%,23%,37%,11%,27%,23%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,3850 Registered Voters,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
49%,88%,31%,35%,39%,19%,3%,38%,33%,43%,42%,29%,41%,42%,49%,36%,53%,39%,33%,46%,39%,38%,34%,55%,40%,41%,42%,46%,31%,9%,48%,43%,32%,**,**,**,30%,42%,41%,46%,49%,41%,41%,4%,38%,42%,44%,8%,47%,40%,Donald Trump ,43%,40%,35%,33%,48%,33%,44%,51%,45%,52%,34%,40%,38%,86%,85%,6%,39%,30%,69%,38%,33%,24%,44%,71%,40%
37%,6%,54%,52%,48%,68%,84%,44%,51%,43%,45%,54%,48%,45%,37%,47%,35%,46%,50%,43%,46%,49%,51%,34%,48%,43%,43%,41%,56%,69%,40%,45%,49%,**,**,**,53%,44%,45%,42%,38%,44%,45%,87%,47%,46%,44%,79%,41%,46%,Michael Bloomberg,44%,46%,48%,50%,41%,50%,45%,36%,44%,37%,49%,47%,48%,9%,9%,80%,47%,54%,22%,39%,49%,59%,46%,18%,46%
14%,6%,15%,13%,13%,14%,13%,18%,15%,13%,13%,17%,12%,13%,14%,17%,12%,14%,17%,11%,15%,14%,15%,11%,13%,15%,15%,13%,14%,21%,12%,13%,19%,**,**,**,18%,14%,14%,12%,12%,14%,14%,10%,15%,12%,13%,14%,11%,14%,Undecided,13%,13%,17%,17%,11%,17%,12%,13%,12%,11%,17%,13%,14%,5%,6%,14%,14%,17%,9%,23%,18%,17%,11%,10%,14%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19%,38%,28%,40%,12%,35%,41%,33%,47%,28%,33%,29%,19%,24%,28%,37%,23%,49%,24%,25%,22%,18%,69%,27%,45%,34%,37%,22%,14%,12%,67%,48%,9%,1%,2%,4%,34%,88%,37%,49%,24%,17%,92%,8%,52%,20%,37%,18%,50%,100%,Composition of Registered Voters,28%,26%,26%,50%,30%,10%,11%,22%,26%,9%,27%,28%,81%,11%,32%,41%,67%,8%,29%,23%,37%,11%,27%,23%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,3850 Registered Voters,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
46%,80%,30%,35%,36%,18%,7%,38%,30%,43%,40%,27%,39%,41%,49%,35%,47%,40%,34%,45%,37%,34%,32%,56%,39%,40%,40%,42%,33%,13%,45%,42%,28%,**,**,**,29%,41%,41%,44%,52%,42%,40%,6%,36%,42%,43%,8%,45%,39%,Mike Pence ,42%,37%,34%,32%,45%,30%,43%,48%,44%,53%,34%,38%,37%,83%,80%,10%,38%,30%,66%,33%,31%,22%,42%,70%,39%
37%,8%,52%,50%,48%,66%,79%,41%,51%,40%,41%,53%,46%,42%,36%,44%,34%,44%,47%,41%,44%,49%,50%,31%,46%,41%,40%,39%,50%,67%,39%,44%,45%,**,**,**,51%,42%,43%,41%,35%,41%,43%,83%,44%,47%,41%,77%,41%,44%,Michael Bloomberg,42%,44%,44%,47%,40%,47%,43%,34%,42%,37%,45%,46%,46%,9%,9%,75%,45%,50%,22%,39%,46%,56%,46%,18%,44%
17%,12%,17%,14%,16%,16%,14%,21%,20%,16%,19%,21%,16%,17%,15%,21%,18%,17%,20%,14%,18%,17%,18%,14%,15%,18%,19%,19%,17%,21%,16%,14%,27%,**,**,**,20%,17%,16%,15%,13%,18%,17%,11%,20%,11%,16%,15%,14%,17%,Undecided,16%,19%,22%,20%,15%,23%,14%,18%,14%,10%,21%,16%,17%,7%,11%,15%,16%,20%,13%,28%,23%,22%,12%,12%,17%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19%,38%,28%,40%,12%,35%,41%,33%,47%,28%,33%,29%,19%,24%,28%,37%,23%,49%,24%,25%,22%,18%,69%,27%,45%,34%,37%,22%,14%,12%,67%,48%,9%,1%,2%,4%,34%,88%,37%,49%,24%,17%,92%,8%,52%,20%,37%,18%,50%,100%,Composition of Registered Voters,28%,26%,26%,50%,30%,10%,11%,22%,26%,9%,27%,28%,81%,11%,32%,41%,67%,8%,29%,23%,37%,11%,27%,23%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
56%,58%,52%,50%,54%,42%,42%,52%,49%,50%,48%,51%,47%,52%,45%,43%,43%,49%,0%,100%,49%,48%,49%,48%,48%,50%,45%,51%,50%,47%,49%,47%,41%,**,**,**,53%,49%,50%,49%,45%,39%,49%,40%,50%,44%,48%,42%,100%,49%,Male,49%,50%,51%,0%,50%,43%,54%,48%,51%,59%,46%,48%,47%,54%,55%,42%,49%,44%,52%,53%,50%,46%,55%,56%,48%
44%,42%,48%,50%,46%,58%,58%,48%,51%,50%,52%,49%,53%,48%,55%,57%,57%,51%,100%,0%,51%,52%,51%,52%,52%,50%,55%,49%,50%,53%,51%,53%,59%,**,**,**,47%,51%,50%,51%,55%,61%,51%,60%,50%,56%,52%,58%,0%,51%,Female,51%,50%,49%,100%,50%,57%,46%,52%,49%,41%,54%,52%,53%,46%,45%,58%,51%,56%,48%,47%,50%,54%,45%,44%,52%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
25%,22%,36%,25%,28%,32%,24%,30%,33%,31%,39%,41%,34%,29%,16%,33%,28%,29%,28%,29%,30%,29%,31%,25%,29%,33%,32%,36%,42%,35%,26%,0%,31%,**,**,**,55%,28%,32%,20%,22%,7%,28%,34%,54%,0%,31%,31%,32%,31%,18-34,0%,0%,100%,29%,24%,34%,29%,29%,27%,22%,34%,29%,32%,23%,24%,30%,26%,57%,27%,32%,32%,49%,24%,25%,30%
20%,25%,28%,29%,26%,25%,25%,25%,26%,27%,45%,28%,30%,24%,21%,24%,23%,25%,24%,26%,25%,25%,25%,26%,24%,27%,24%,23%,31%,27%,24%,0%,27%,**,**,**,24%,25%,25%,29%,24%,21%,24%,27%,46%,0%,26%,25%,26%,26%,35-49,0%,100%,0%,25%,22%,30%,27%,25%,22%,25%,25%,28%,27%,25%,26%,26%,16%,36%,27%,24%,27%,26%,29%,23%,26%
25%,30%,21%,25%,27%,24%,28%,26%,24%,29%,14%,20%,23%,27%,34%,26%,28%,27%,28%,26%,27%,26%,25%,30%,25%,27%,26%,26%,18%,24%,28%,58%,27%,**,**,**,15%,27%,23%,29%,27%,39%,27%,22%,0%,0%,25%,23%,25%,26%,50-64,100%,0%,0%,26%,28%,21%,21%,29%,27%,25%,28%,24%,26%,33%,29%,25%,31%,6%,28%,25%,24%,17%,29%,30%,26%
29%,23%,14%,21%,19%,19%,22%,18%,18%,14%,2%,11%,13%,20%,30%,17%,21%,19%,20%,19%,19%,19%,19%,19%,22%,14%,19%,14%,9%,13%,22%,42%,15%,**,**,**,6%,20%,20%,23%,27%,33%,20%,17%,0%,100%,19%,21%,17%,18%,65+,0%,0%,0%,20%,27%,15%,23%,17%,24%,29%,13%,19%,16%,19%,21%,18%,27%,1%,19%,19%,17%,8%,18%,22%,19%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
45%,47%,65%,54%,55%,57%,49%,56%,58%,57%,84%,69%,64%,53%,37%,57%,51%,54%,53%,54%,55%,54%,57%,51%,53%,59%,56%,59%,72%,62%,50%,0%,58%,**,**,**,79%,53%,57%,48%,47%,28%,52%,61%,100%,0%,56%,56%,58%,56%,18-49,0%,100%,100%,54%,45%,64%,55%,54%,49%,47%,59%,57%,58%,48%,50%,57%,42%,93%,53%,56%,59%,75%,53%,48%,56%
55%,53%,35%,46%,45%,43%,51%,44%,42%,43%,16%,31%,36%,47%,63%,43%,49%,46%,47%,46%,45%,46%,43%,49%,47%,41%,44%,41%,28%,38%,50%,100%,42%,**,**,**,21%,47%,43%,52%,53%,72%,48%,39%,0%,100%,44%,44%,42%,44%,50+,100%,0%,0%,46%,55%,36%,45%,46%,51%,53%,41%,43%,42%,52%,50%,43%,58%,7%,47%,44%,41%,25%,47%,52%,44%
